Radial_Distance_mm,Radial_Dose_Function
-22.5,0
-22.4,0.00666666666666676
-22.3,0.0133333333333333
-22.2,0.02
-22.1,0.0266666666666666
-22,0.0333333333333333
-21.9,0.0400000000000001
-21.8,0.0466666666666666
-21.7,0.0533333333333334
-21.6,0.0599999999999999
-21.5,0.0666666666666667
-21.4,0.0733333333333334
-21.3,0.0799999999999999
-21.2,0.0866666666666667
-21.1,0.0933333333333332
-21,0.1
-20.9,0.106666666666667
-20.8,0.113333333333333
-20.7,0.12
-20.6,0.126666666666667
-20.5,0.133333333333333
-20.4,0.14
-20.3,0.146666666666667
-20.2,0.153333333333333
-20.1,0.16
-20,0.166666666666667
-19.9,0.173333333333333
-19.8,0.18
-19.7,0.186666666666667
-19.6,0.193333333333333
-19.5,0.2
-19.4,0.206666666666667
-19.3,0.213333333333333
-19.2,0.22
-19.1,0.226666666666667
-19,0.233333333333333
-18.9,0.24
-18.8,0.246666666666667
-18.7,0.253333333333333
-18.6,0.26
-18.5,0.266666666666667
-18.4,0.273333333333333
-18.3,0.28
-18.2,0.286666666666667
-18.1,0.293333333333333
-18,0.3
-17.9,0.306666666666667
-17.8,0.313333333333333
-17.7,0.32
-17.6,0.326666666666667
-17.5,0.333333333333333
-17.4,0.34
-17.3,0.346666666666667
-17.2,0.353333333333333
-17.1,0.36
-17,0.366666666666667
-16.9,0.373333333333333
-16.8,0.38
-16.7,0.386666666666667
-16.6,0.393333333333333
-16.5,0.4
-16.4,0.406666666666667
-16.3,0.413333333333333
-16.2,0.42
-16.1,0.426666666666667
-16,0.433333333333333
-15.9,0.44
-15.8,0.446666666666667
-15.7,0.453333333333333
-15.6,0.46
-15.5,0.466666666666667
-15.4,0.473333333333333
-15.3,0.48
-15.2,0.486666666666667
-15.1,0.493333333333333
-15,0.5
-14.9,0.506666666666667
-14.8,0.513333333333333
-14.7,0.52
-14.6,0.526666666666667
-14.5,0.533333333333333
-14.4,0.54
-14.3,0.546666666666667
-14.2,0.553333333333333
-14.1,0.56
-14,0.566666666666667
-13.9,0.573333333333333
-13.8,0.58
-13.7,0.586666666666667
-13.6,0.593333333333333
-13.5,0.6
-13.4,0.606666666666667
-13.3,0.613333333333333
-13.2,0.62
-13.1,0.626666666666667
-13,0.633333333333333
-12.9,0.64
-12.8,0.646666666666667
-12.7,0.653333333333333
-12.6,0.66
-12.5,0.666666666666667
-12.4,0.673333333333333
-12.3,0.68
-12.2,0.686666666666667
-12.1,0.693333333333333
-12,0.7
-11.9,0.706666666666667
-11.8,0.713333333333333
-11.7,0.72
-11.6,0.726666666666667
-11.5,0.733333333333333
-11.4,0.74
-11.3,0.746666666666667
-11.2,0.753333333333333
-11.1,0.76
-11,0.766666666666667
-10.9,0.773333333333333
-10.8,0.78
-10.7,0.786666666666667
-10.6,0.793333333333333
-10.5,0.8
-10.4,0.806666666666667
-10.3,0.813333333333333
-10.2,0.82
-10.1,0.826666666666667
-10,0.833333333333333
-9.9,0.84
-9.8,0.846666666666667
-9.7,0.853333333333333
-9.6,0.86
-9.5,0.866666666666667
-9.4,0.873333333333333
-9.3,0.88
-9.2,0.886666666666667
-9.1,0.893333333333333
-9,0.9
-8.9,0.906666666666667
-8.8,0.913333333333333
-8.7,0.92
-8.6,0.926666666666667
-8.5,0.933333333333333
-8.4,0.94
-8.3,0.946666666666667
-8.2,0.953333333333333
-8.1,0.96
-8,0.966666666666667
-7.9,0.973333333333333
-7.8,0.98
-7.7,0.986666666666667
-7.6,0.993333333333333
-7.5,1
-7.4,1
-7.3,1
-7.2,1
-7.1,1
-7,1
-6.9,1
-6.8,1
-6.7,1
-6.6,1
-6.5,1
-6.4,1
-6.3,1
-6.2,1
-6.1,1
-6,1
-5.9,1
-5.8,1
-5.7,1
-5.6,1
-5.5,1
-5.4,1
-5.3,1
-5.2,1
-5.1,1
-5,1
-4.9,1
-4.8,1
-4.7,1
-4.6,1
-4.5,1
-4.4,1
-4.3,1
-4.2,1
-4.1,1
-4,1
-3.9,1
-3.8,1
-3.7,1
-3.6,1
-3.5,1
-3.4,1
-3.3,1
-3.2,1
-3.1,1
-3,1
-2.9,1
-2.8,1
-2.7,1
-2.6,1
-2.5,1
-2.4,1
-2.3,1
-2.2,1
-2.1,1
-2,1
-1.9,1
-1.8,1
-1.7,1
-1.6,1
-1.5,1
-1.4,1
-1.3,1
-1.2,1
-1.1,1
-1,1
-0.899999999999999,1
-0.799999999999997,1
-0.699999999999999,1
-0.599999999999998,1
-0.5,1
-0.399999999999999,1
-0.299999999999997,1
-0.199999999999999,1
-0.0999999999999979,1
0,1
0.0999999999999979,1
0.199999999999999,1
0.299999999999997,1
0.399999999999999,1
0.5,1
0.599999999999998,1
0.699999999999999,1
0.799999999999997,1
0.899999999999999,1
1,1
1.1,1
1.2,1
1.3,1
1.4,1
1.5,1
1.6,1
1.7,1
1.8,1
1.9,1
2,1
2.1,1
2.2,1
2.3,1
2.4,1
2.5,1
2.6,1
2.7,1
